translation_id,book_id,chapter,verse,text,heading,is_paragraph,is_poetry,footnote
1,18,1,1,"Sự nghiệp của Nêhêmya, con của Khakalyah... Xảy ra là vào tháng Kislêu, năm thứ hai mươi, (trong khi) tôi đang ở thành Shushan,",Sự nghiệp của Nêhêmya,True,False,
1,18,1,2,"thì Khanani một người anh em của tôi đi cùng với ít người từ Yuđa đến. Tôi hỏi han họ về (số phận) những người Dothái, nhóm người thoát nạn đã sót lại sau tù đày, và về (số phận) Yêrusalem.",,False,False,
1,18,1,3,"Họ nói với tôi: ""NHững người sống sót, còn lại sau tù đày, ở đó trong trấn hạt gặp phải khốn đốn lớn lao và nhục nhã; tường thành Yêrusalem hủng hê những lỗ, cổng thành thì bị lửa thiêu!""",,False,False,
1,18,1,4,"Vừa nghe các lời ấy, tôi đã ngồi xuống mà khóc và ưu phiền ròng rã nhiều ngày. Ðoạn tôi ăn chay và khẩn nguyện trước nhan Thiên Chúa trên trời.",,False,False,
1,18,1,5,"Tôi nói: ""Ôi! Lạy Yavê Thiên Chúa trên trời, Thiên Chúa lớn lao và đáng sợ, Ðấng giữ Giao ước và lòng nhân với những ai yêu mến Người và giữ các lịnh Người truyền,",,False,False,
1,18,1,6,"ước gì tai Người để ý và mắt Người rộng mở, để nghe lời khẩn nguyện tôi tớ Người dâng lên trước nhan Người bây giờ, ngày đêm cho con cái Israel, các tôi tớ của Người; cùng với lời xưng thú tội lỗi con cái Israel: Quả chúng tôi đã phạm tội nghịch với Người; tôi và nhà cha tôi, chúng tôi đã phạm tội.",,False,False,
1,18,1,7,"Chúng tôi đã thậm tệ với Người, đã không giữ các lịnh truyền và luật điều, phán quyết Người đã truyền cho Môsê tôi tớ của Người.",,False,False,
1,18,1,8,"Xin hãy nhớ lại lời Người đã truyền dạy Môsê tôi tớ Người rằng: Các ngươi mà bội nghĩa, Ta sẽ phân tán các ngươi giữa các dân;",,False,False,
1,18,1,9,"nhưng nếu các ngươi trở lại với Ta và tuân giữ các lịnh truyền của Ta và thi hành, thì dẫu những người của các ngươi có đày ải mút (chân) trời, Ta cũng sẽ thâu họp chúng lại từ đó mà đưa về chốn Ta đã chọn làm nơi lưu trú Danh Ta.",,False,False,
1,18,1,10,"Chúng là tôi tớ của Người, và là dân Người đã lấy sức lớn lao và bàn tay hùng tráng của Người mà chuộc lấy.",,False,False,
1,18,1,11,"Ôi! Lạy Chúa, ước gì tai Người để ý đến lời khẩn nguyện của tô tớ Người, và lời khẩn nguyện của các tôi tớ của Người, những kẻ vui sướng kính sợ Danh Người. Xin cho tôi tớ Người được thành công hôm nay, xin cho nó gặp được sủng thương trước mặt người ấy!"" Bấy giờ tôi làm quan chước tửu của vua.",,False,False,
1,18,2,1,"Xảy ra là vào tháng Nisan, năm thứ hai mươi đời vua Artaxerxes, tôi phải hầu rượu, nên tôi nâng rượu vào tiến vua. [Xưa nay] tôi không hề buồn rầu.",,True,False,
1,18,2,2,"Nên vua mới nói với tôi: ""Sao mặt khanh rầu rầu thế? Khanh có đau ốm gì đâu? Phải chăng chỉ vì lòng buồn mà thôi?"" Và tôi sợ quá sức.",,False,False,
1,18,2,3,"Và tôi thưa với vua: ""Ðức Vua! vạn tuế! Mặt thần không buồn sao được, khi mà thành, nơi có mồ của tổ tiên thần đã ra hoang tàn và các cổng đã bị lửa thiêu?""",,False,False,
1,18,2,4,"Vua nói với tôi: ""Vậy khanh ước nguyện điều gì?"" Tôi liền khẩn nguyện Thiên Chúa trên trời.",,False,False,
1,18,2,5,"Ðoạn tôi thưa với vua: ""Nếu đẹp lòng Ðức Vua và nếu bầy tôi của ngài được vừa ý ngài, (thì xin) ngài sai thần đi Yuđa, đến thành có phần mộ của tổ tiên thần để thần xây dựng lại"".",,False,False,
1,18,2,6,"Vua lại nói với tôi - bấy giờ có thái phi ngồi bên cạnh vua - ""Hành trình của khanh kéo dài bao lâu? Bao giờ khanh sẽ trở về lại đây?"" Vua đã ưng ý cho phép tôi đi, và tôi da94 giao hạn với vua.",,False,False,
1,18,2,7,"Tôi thưa với vua: ""Nếu Ðức Vua xét là phải, thì xin để người ta cấp cho thần chiếu thư đến với các tổng trấn vùng Bên-kia-Sông, ngõ hầu họ để thần ngang qua cho đến khi tới được Yuđa,",,False,False,
1,18,2,8,"và một chiếu thư cho Asaph, viên cai ngự uyển hầu ông cấp cho thần, gỗ để thưng các cổng ven Ðền thờ, gỗ cho tường thành, và cho ngôi nhà thần sẽ đến ở"". Vua đã ban cho tôi tất cả, vì có tay nhân lành của Thiên Chúa trên tôi.",,False,False,
1,18,2,9,Tôi đã đến với các tổng trấn vùng Bên-kia-Sông và trình chiếu thư của vua cho họ. Vua cũng đã sai quan binh và kị mã đi hộ tống tôi.,,False,False,
1,18,2,10,"Samballat, người Khôrôni, và Tôbiya, người bầy tôi gốc Ammon nghe biết thì chúng rất lấy làm tức tối, bởi có người đến mưu hạnh phúc cho con cái Israel.",Quyết định xây tường thành,False,False,
1,18,2,11,"Ðến Yêrusalem tôi đã ở đó (chừng) ba ngày,",,True,False,
