translation_id,book_id,chapter,verse,text,heading,is_paragraph,is_poetry,footnote
1,13,1,1,"Vua Ðavit đã già nua, tuổi tác. Người ta đắp cả đống áo cho ông, mà ông vẫn không ấm người được.","I. Việc Kế Vị Ðavit

Tuổi già của Ðavit",True,False,
1,13,1,2,"Các tôi tớ của ông nói với ông: ""Xin để tìm cho Ðức Vua, chúa công tôi, một thiếu nữ còn trinh, để nàng chầu chực Ðức Vua và lo cung phụng ngài! Nàng sẽ nằm trong lòng ngài và Ðức Vua, chúa công tôi, sẽ được ấm mình"".",,False,False,
1,13,1,3,"Và người ta đã tìm khắp bờ cõi Israel một thiếu nữ xinh đẹp và đã tìm được Abishag, người Shunem và người ta đã đem dâng nàng cho vua.",,False,False,
1,13,1,4,"Thiếu nữ xinh đẹp tuyệt vời; nàng đã cung phụng, hầu hạ vua. Nhưng vua đã không biết nàng.",,False,False,
1,13,1,5,"Ađônya con của Khaggit, ra vẻ trịnh thượng, những rằng: ""Chính ta sẽ làm vua!"" Chàng làm cho mình xe với ngựa, có năm người chạy đằng trước.",,False,False,
1,13,1,6,"Cha chàng suốt đời không hề trách cứ chàng một tiếng như: ""Tại sao con làm thế?"" Vả lại chàng vẻ người rất đẹp, và mẹ chàng đã sinh chàng kế sau Absalôm.",,False,False,
1,13,1,7,"Chàng đã ngỏ lời với Yôab, con của Xơruyah, cùng với tư tế Abiyatar; và họ đã phò Ađônya.",,False,False,
1,13,1,8,"Còn tư tế Sađok, Bơnayahu, con của Yohôyađa, tiên tri Natan, Shimơi, Rêi, các võ biền của Ðavit lại không về phe với Ađônya.",,False,False,
1,13,1,9,"Ngày kia Ađônya tế sát chiên dê, bò vật, những con bê béo tốt, ở Ðá Lăn bên cạnh Giếng thợ cán vải. Chàng đã cho mời tất cả các hoàng tử, bào đệ, và tất cả các người Yuđa, tôi bộc của vua:",,False,False,
1,13,1,10,"nhưng tiên tri Natan, Bơnayahu, các võ biền và Salômon em chàng, chàng lại không mời.",Mưu của Natan và Bat-Shêba,False,False,
1,13,1,11,"Natan nói với Bat-Shêba, mẹ của Salômon: ""Bà lại không nghe tin sao, là Ađônyah, con của Khaggit đã làm vua, trong khi Ðavit, chúa công của ta lại không biết gì?",,True,False,
1,13,1,12,"Vậy bây giờ, nào! Tôi xin khuyên bà điều này, để bà tự cứu lấy mạng mình và mạng con bà là Salômon.",,False,False,
1,13,1,13,"Bà hãy đi vào gặp vua Ðavit và thưa với ngài: Tâu Ðức Vua, chúa công tôi, há lại không phải chính ngài đã thề với tớ nữ của ngài rằng: Chính Salômon con của khanh sẽ kế ngôi ta, chính nó sẽ ngự trên ngai của ta, sao? Vậy tại sao Ađônyah lại đã làm vua?",,False,False,
1,13,1,14,"Này đây, trong khi bà còn đang thưa chuyện với vua ở bên trong thì tôi sẽ vào sau và bổ chứng thêm cho lời bà"".",,False,False,
1,13,1,15,"Bat-Shêba đã vào hầu vua trong phòng. Quả nhà vua đã già lắm; và Abishag, người Shunem lo việc chầu chực bên vua.",,False,False,
1,13,1,16,"Bat-Shêba qùi gối bái lạy vua. Và vua nói: ""Bà có điều gì?""",,False,False,
1,13,1,17,"Bà thưa: ""Tâu chúa công tôi, ngài đã lấy Yavê, Thiên Chúa của ngài mà thề với tớ nữ của ngài rằng: Salômon của khanh sẽ kế ngôi ta, chính nó sẽ ngự trên ngai của ta.",,False,False,
1,13,1,18,"Nhưng bây giờ, này Ađônyah đã làm vua: mà ngài, thưa Ðức Vua, chúa công tôi, ngài lại không hay không biết.",,False,False,
1,13,1,19,"Hoàng tử đã tế sát bò vật, những bê béo tốt cùng chiên dê vô số kể, và đã cho mời tất cả các hoàng tử khác, với tư tế Abiyatar, Yôab tướng quân; nhưng hoàng tử đã chẳng mời Salômon, tôi bộc của ngài.",,False,False,
1,13,1,20,"Chính ngài, tâu Ðức Vua, chúa công tôi, mọi mắt trong Israel đều hướng về ngài, trông ngài phán dạy ai sẽ ngự lên ngai của Ðức Vua chúa công tôi để kế vị ngài.",,False,False,
1,13,1,21,"Và sẽ xảy ra là khi Ðức Vua, chúa công tôi đã yên nghỉ với tiên tổ, thì tôi và Salômon con tôi sẽ phải chịu tội"".",,False,False,
1,13,1,22,"Bà còn đang hầu chuyện với vua, thì này tiên tri Natan đến.",,False,False,
1,13,1,23,"Người ta báo tin cho vua rằng: ""Này có tiên tri Natan"". Ông vào trước mặt vua; và bái lạy vua, mặt sát đất.",,False,False,
1,13,1,24,"Ðoạn Natan nói: ""Tâu Ðức Vua, chúa công tôi, vậy ra chính ngài đã phán: Ađônyah sẽ kế ngôi ta, chính nó sẽ ngự lên ngai của ta!",,False,False,
1,13,1,25,"Quả vậy, hôm nay hoàng tử đã xuống và tế sát bò vật, những bê béo nẫy cùng chiên dê vô số kể; và đã cho mời tất cả các hoàng tử khác, với các vị tướng quân cùng tư tế Abiyatar. Và này họ đang ăn uống trước mặt hoàng tử và họ nói: ""Vạn tuế Ðức Vua Ađônyah!""",,False,False,
